п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"130306";"ИП Заславский Павел Юрьевич/Грин Парк Салон";"Москва, Березовая аллея 17к2";"СВАО";"Гранит";"Михно С.С.";"КВ";"55.8476122";"37.6240117";"12.08.2024";"#33668860"
"131321";"ООО ""Голден"" (Медицинский центр INVITRO)";"г. Москва, ул. Олонецкая, дом 4";"СВАО";"Гранит";"Христенко Е.А.";"КВ";"55.85236270000001";"37.61905";"12.08.2024";"#33668913"
"133739";"ИП Коннова Елена (Кофейня « Surf Coffee x Pease»)";"Москва г, Мира пр-кт, дом 99";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.810366";"37.6363741";"12.08.2024";"#33668904"
"136509";"ООО «Кубомер»/Пиццерия ""Грани сыра""";"Московская обл, Мытищи г, Сухарево д, Дмитровское ш, дом 20";"СВАО";"Технологии Безопасности";"Моторин А.В.";"КВ";"56.0767009";"37.5212203";"12.08.2024";"#33668946"
"ТО-№638ТБ";"ООО «ДИВА ДЕНТ»/Стоматология";"Москва г, Олонецкая ул, дом № 4";"СВАО";"Технологии Безопасности";"Кузнецов М.А.";"КВ";"55.8546099";"37.6201204";"12.08.2024";"#33668824"
"39578";"ООО «МедОк» (Клиника «Инвитро»)";"г. Москва, ул. Менжинского 32к3";"СВАО";"Гранит";"Христенко Е.А.";"КВ";"55.8699317";"37.6673193";"09.08.2024";"#33668895"
"91290";"ООО «ЦСМ» Центр семейной медицины";"г. Москва, Бескудниковский бул., д. 38, к. 1";"СВАО";"Нева-Технологии";"Гаук Е.М.";"КВ";"55.874166";"37.552394";"09.08.2024";"#33668909"
"131996";"ООО ""Аджента""/ аптека Планета Здоровья";"Москва г, Алтуфьевское ш, дом № 88";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.8838637";"37.5872482";"09.08.2024";"#33668903"
"133214";"ООО «МЕДСЕРВИС-85» (Стоматологическая клиника «СТОМАТОЛОГИЯ»)";"Москва г, Бескудниковский б-р, дом 32, корпус 6";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8726129";"37.5554326";"09.08.2024";"#33668907"
"ТО-№390";"Антонова Ангелина Александровна Барбершоп/Школа парикмахеров»";"Москва г, Бескудниковский б-р, дом № 10, корпус 5";"СВАО";"Аллигатор";"Моторин А.В.";"КВ";"55.8679443";"37.5575795";"09.08.2024";"#33668849"
"132705";"ООО ""Азон"" /аптека Планета Здоровья";"Московская обл Мытищи г, Мира ул, дом 35";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.9153215";"37.7266176";"06.08.2024";"#33668892"
