п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"133352 \ 133760";"ООО «МОНДИАРА»/офис (133352) И 2 (133760)";"Москва г, Привольная ул, дом 65/32";"Одинцово";"Технологии Безопасности";"Чиграй А.С.";"КВ";"55.681677";"37.8481622";"11.12.2024";"https://durnovcev2000.kaiten.ru/32562268"
"№ 815 ТБ 2";"ООО «Гард-НН»/Банк Казани";"Москва г, ул Стромынка, д. 5";"Одинцово";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.791413";"37.684419";"27.11.2024";"https://durnovcev2000.kaiten.ru/39798600"
"136611";"ИП Воробьев Евгений Юрьевич/ Магазин ""Нумизмат""";"г.Москва, Проспект Буденного, д.51, 2-ой этаж";"Одинцово";"Технологии Безопасности";"Дубовик А.С.";"КВ";"55.7532215";"37.8030941";"12.11.2024";"#31421502"
"151676";"ООО «ВОСХОД»/ Пекарня Буханка";"Москва, ул Веерная, д. 3, к. 1";"Одинцово";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.708587";"37.479429";"12.11.2024";"https://durnovcev2000.kaiten.ru/40682979"
"93260";"ООО «Мовэра»";"Москва, Зеленодольская улица 32/3";"Одинцово";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.71053209999999";"37.7690776";"11.11.2024";"https://durnovcev2000.kaiten.ru/32562364"
"132704";"ООО ""Альфа""/ аптека Планета Здоровья";"Москва г, Таганская ул, дом № 31/22";"Одинцово";"Гранит";"Пряшников Д.Ю.";"КВ";"55.7400175";"37.6629419";"07.11.2024";"https://durnovcev2000.kaiten.ru/33814921"
"ТО№ 440ТБ";"ИП Дойников Алексей Андреевич (Интернет-Магазин «GoDron»)";"Москва г, 1-я Дубровская ул, дом № 12";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7262516";"37.6703562";"07.11.2024";"https://durnovcev2000.kaiten.ru/33814924"
"134884";"ООО «Русассистанс» (склад)";"Москва г, Подольских Курсантов ул, дом 3, строение 6";"Одинцово";"Технологии Безопасности";"Мигуль И.";"КВ";"55.6115928";"37.6169239";"02.11.2024";"https://durnovcev2000.kaiten.ru/32511300"
"137546";"ИП Жиров А.В. / Кофейня «Surf Coffee & Mayak»";"Москва г, ул Тверская, д. 25/12";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.76753";"37.59976";"31.10.2024";"https://durnovcev2000.kaiten.ru/32519911"
"134321";"ИП Гаделия А. В./Пекарня Буханка";"Москва г, Эдварда Грига, дом № 15";"Одинцово";"Гранит";"Ткаченко В.Н.";"КВ";"55.55356399999999";"37.510738";"29.10.2024";"https://durnovcev2000.kaiten.ru/32511350"
"90334";"ИП Ахадов А. продукты";"МО, д. Дрожжино, Новое шоссе 12к1, ( помещение 1)";"Одинцово";"Гранит";"Калиниченко А.С.";"КВ";"55.524666";"37.596103";"22.10.2024";"https://durnovcev2000.kaiten.ru/space/355641/boards/card/32511026"
"ТО-2163";"Стоматология ""ТИП-ТОП""";"г.Москва, Мичуринский проспект, Олимпийская деревня д. 16";"Одинцово";"Гранит";"Христенко Е.А.";"КВ";"55.6724946";"37.4629589";"16.10.2024";"#33814793"
