"Дата заявки";"п/н ";"Адрес";"Округ";"Наименование";"Доп. информация";"Телефон клиента или менеджер";"Статус заявки";"Что сделано, отчет техника/инженера по месту";"Комментарий инженера";"Latitude";"Longitude"
"19.04.2024";"151500";"Мо,Ленинский городской округ, вблизи д. Жабкино и д. Спасское 55.546771, 37.654886 ";"Видное";"Котельная";"проверить КТС";"-";"не назначено";"-";"-";"55.5503553";"37.6627443"
"23.04.2024";"22103";"Перерва 41 этаж 1";"Братиславская";"Компьютерный клуб Джектор Джек";"потеря связи";"-";"не назначено";"-";"-";"55.659434";"37.747091"
"23.04.2024";"90891";"МО г Лыткарино ул Советская 12";"Лыткарино";"Ломбард ООО ЛК Драгоценности Урала";"проверить работоспособость КТС";"-";"не назначено";"Екатерина 74955523383";"-";"55.5813526";"37.9037317"
"23.04.2024";"91388";"ул Яблочкова 21 стр 3";"Тимирязевская";"КФС ООО Знак";"заенить АКБ";"-";"не назначено";"-";"-";"55.8193625";"37.5775189"
"23.04.2024";"131091";"г. Лыткарино, 6-ой микрорайон, строение 10";"Лыткарино";"ООО СК ""Гума"", ";"заменить АКБ";"-";"не назначено";"-";"-";"55.5959825";"37.8867127"
"23.04.2024";"132785";"ул Подольских Курсантов 34 с 2 офис 219";"Пражская";"Офис";"заменить АКБ";"-";"не назначено";"-";"-";"55.587597";"37.633331"
"23.04.2024";"133052";"Бутырская д.9 к.2";"Савеловская";"Ломбард Золотое руно";"заменить АКБ";"-";"не назначено";"-";"-";"55.7948988";"37.5837716"
"23.04.2024";"133314";" Коломна с Черкизово ул Советская 3 ";"Коломна";"Склад";"заменить АКБ";"-";"не назначено";"-";"-";"55.0568937";"38.8550065"
"23.04.2024";"133583";"МО Люберцы ул 8 марта 18 к 1";"Люберцы";"мед лаборатория";"заменитьт АКБ";"-";"не назначено";"-";"-";"55.7022533";"37.8859804"
"23.04.2024";"133993";"Истра,  Московская 56 ";"Истра";"ИСТ Магазин электрики ПлюсЭлектро";"заменить АКБ";"-";"не назначено";"-";"-";"55.9056069";"36.8888732"
"23.04.2024";"134426";"МО ., Ленинский район, поселок Развилка , Римский проезд д . 5";"Видное";" Ип Оганезов Сурен Самвелович Ресторан суши Ёбидоёби";"потеря  АБ 17,21 зон";"-";"не назначено";"-";"-";"55.5962865";"37.7669899"
"23.04.2024";"136789";"Плавский проезд 3";"Бутово";" ГБУЗ КДП 121 ДЗМ филиал";"отказы связи";"-";"не назначено";"-";"-";"55.54902999999999";"37.5347633"
"24.04.2024";"1231";"Зубовская, 5/36,";"Парк Культуры";" Ресторан «Идрик";"НКС";"-";"не назначено";"-";"-";"55.7374553";"37.5846198"
