 ";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"131779";"ИП Грохольская Мария Николаевна/ Детский сад «Sun School»";"г. Москва, Ломоносовский проспект, д. 25, стр. 3, помещение 4";"ЮЗАО+ЗАО";"Гранит";"Гаук Е.М.";"КВ";"55.6935686";"37.5287565";"15.04.2025";"https://durnovcev2000.kaiten.ru/33814817"
"137435";"ООО ""Кофейная волна"" / SURF COFEE & ERUDIT) ; (ТО-№ 800ТБ )";"Москва г, пр-кт Ломоносовский, д. 25, к. 5";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.69277169999999";"37.5294632";"15.04.2025";"https://durnovcev2000.kaiten.ru/33814814"
"90041";"«Научно-исследовательский реставрационный центр»";"Москва, Севастопольский пр. 21";"ЮЗАО+ЗАО";"Гранит";"Супонников М.С.";"КВ";"55.677403";"37.594792";"15.04.2025";"https://durnovcev2000.kaiten.ru/33814832"
"ТО-2356";"ЗАО ""Норд""";"Москва, ул. Севастопольский пр-т, д. 25";"ЮЗАО+ЗАО";"Гранит";"Супонников М.С.";"КВ";"55.6766489";"37.5937968";"15.04.2025";"https://durnovcev2000.kaiten.ru/33814886"
"136782";"ИП Демьянов Данила Алексеевич, Кладовка ""СКЛАДНО";"Москва г, Нагорная ул, дом № 24, корпус 5";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.6774601";"37.6021511";"15.04.2025";"https://durnovcev2000.kaiten.ru/33814756"
"№ 1140/30";"ООО «Безопасность Групп»/(Аптека «Таблеточка»)";"Москва, ул. Нагорная, 30 к1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.675448";"37.597416";"15.04.2025";"https://durnovcev2000.kaiten.ru/44219938"
"84526";"Доктор лазер";"Москва, Мичуринский Пр-кт, д. 25/2";"ЮЗАО+ЗАО";"Аллигатор";"Супонников М.С.";"КВ";"55.6963106";"37.5045211";"14.04.2025";"https://durnovcev2000.kaiten.ru/33814822"
"91110";"стоматология ""Эволюция"", ООО ""Медлайн""";"г. Москва, Мичуринский пр. 26";"ЮЗАО+ЗАО";"Гранит";"Гагилев";"КВ";"55.70010000000001";"37.5015626";"14.04.2025";"https://durnovcev2000.kaiten.ru/33814821"
"151691";"ООО «ВКУСНО»/пекарня ""Буханка""";"Москва г, ул Винницкая, д. 8, к. 4";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.7001763";"37.4937146";"14.04.2025";"https://durnovcev2000.kaiten.ru/40832801"
"93306";"ООО ""Стоматология Джи Эс";"Москва г, ул Столетова, д. 11";"ЮЗАО+ЗАО";"Технологии Безопасности";"Чиграй А.С.";"КВ";"55.703624";"37.499479";"14.04.2025";"https://durnovcev2000.kaiten.ru/32562106"
"ТО-2232";"ООО «КРМ»/Салон красоты «Manon";"Москва г, Столетова ул, дом 17";"ЮЗАО+ЗАО";"Гранит";"Полубояринов";"КВ";"55.7013511";"37.4982057";"14.04.2025";"https://durnovcev2000.kaiten.ru/32562757"
"134584";"ООО «ВОСХОД»/ Пекарня Буханка";"Москва г, Лобачевского ул, дом № 120, корпус 1";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.6617472";"37.5079235";"14.04.2025";"https://durnovcev2000.kaiten.ru/32562807"
"136850";"ООО «МедАрена» (Медицинский офис ""Анализы ДНКОМ""";"Москва г, вн.тер.г. муниципальный округ Раменки, ул Янковского, д. 1, к. 2";"ЮЗАО+ЗАО";"Гранит";"Мозговой И.В.";"КВ";"55.696423";"37.473770";"14.04.2025";"https://durnovcev2000.kaiten.ru/33814910"
"151686";"ООО «ВКУСНО»/пекарня ""Буханка""";"г Москва Аминьевское шоссе, д. 4Д, к. 2";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.700106";"37.468039";"14.04.2025";"https://durnovcev2000.kaiten.ru/40677058"
"90870";"ООО «Дарси» (Офис Дарси)";"Москва г, Улофа Пальме ул, дом № 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Бурлакова Д.М.";"КВ";"55.7187681";"37.5121847";"14.04.2025";"https://durnovcev2000.kaiten.ru/32562262"
