п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"151677";"ООО «ВКУСНО»/пекарня ""Буханка""";"Москва, пр-кт Волгоградский, д. 32/5, к. 1";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.1392444";"37.5680424";"20.01.2025";"#40677583"
"151679";"ООО «ВКУСНО»/пекарня ""Буханка""";"Москва г, 5-й квартал  д. 24";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.63077639999999";"37.7955264";"20.01.2025";"#40843128"
"44473";"Гостиница Турист";"Саратовская 22";"ЮВАО";"Гранит";"-";"М";"55.716568";"37.7468783";"17.01.2025";"#32562951"
"93071";"Аптека ""Планета Здоровья""";"г. Москва, Волгоградский проспект 80/2";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7062821";"37.7643316";"17.01.2025";"#32562990"
"ТО-925";"ИП Назарова Елена Петровна Ресторан «BURGER CLUB»";"МО, г. Люберцы, ул. Митрофанова, д.21А";"ЮВАО";"Гранит";"Чиграй А.С.";"М";"55.6948027";"37.8885458";"17.01.2025";"#32563046"
"ТО-№ 965ТБ";"ИП Виндермут Александр Александрович/Магазин ""Место Пиво""";"Москва г, ул Газгольдерная, д. 10";"ЮВАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.725821";"37.7376867";"17.01.2025";"#36927132"
"151685";"ООО «Система»/Пекарня Буханка";"Москва г, проезд 1-й Грайвороновский, д. 11, к. 1";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.7223433";"37.7239053";"17.01.2025";"-"
"151690";"ООО «ВОСХОД»/ Пекарня Буханка";"г Люберцы, ул 8 Марта, д. 12, к. 1";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.7022534";"37.8859806";"17.01.2025";"#40405542"
"138660";"ООО «ВОСХОД»/ Пекарня Буханка";"Москва, Газгольдерная, д. 10";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.725821";"37.7376867";"17.01.2025";"https://durnovcev2000.kaiten.ru/space/306672/boards/card/44123523"
"151687";"ООО «Система»/Пекарня Буханка";"Москва, ул. Новохохловская,15, корп. 2";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.7287646";"37.713078";"17.01.2025";"https://durnovcev2000.kaiten.ru/space/307074/boards/card/40723653"
"132777";"ООО ""Реон"" / Аптека Планета Здоровья";"Московская обл, Раменский р-н, Раменское г, Космонавтов ул, строение 5";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.58663620000001";"38.202706";"16.01.2025";"#32562699"
"91021";"Аптека ""Планета Здоровья""";"МО, Белозерский, ул. Молодежная 12";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.460430";"38.445217";"16.01.2025";"#32563011"
"90351";"Аптека ""Планета Здоровья""";"МО, г.Раменское, ул.Чугунова 15/1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.574869";"38.208337";"16.01.2025";"#32563058"
"90936";"Аптека Планета Здоровья";"Москва, проспект защитников Москвы 10";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7003044";"37.9218379";"16.01.2025";"#32563074"
"138084";"ООО ""МЕРИДИАН""";"Раменское, ул. Высоковольтная д. 22";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.5737392";"38.20246119999999";"16.01.2025";"#40133111"
