п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"137219";"ООО ""Истра""";"Павловский Посад, ул. Тихонова, д. 48";"ВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.77781599999999";"38.658347";"новый";"#40162946"
"139085";"ООО ""Грин Макс""";"Москва ул Красноказарменная, д. 23";"ВАО";"Эсток-Сервис";"Михно С.С.";"КВ";"55.7534236";"37.7125254";"новый";"https://durnovcev2000.kaiten.ru/48022914"
"139081";"ИП Ляховицкий Роман Сергеевич/Кладовка ""СКЛАДНО""";"Мытищи,ул.Колпакова  42 к.3";"ВАО";"Эсток-Сервис";"Гаук Е.М.";"КВ";"55.9247741";"37.7218474";"новый";"https://durnovcev2000.kaiten.ru/48024200"
"139043";"ИП Амирова Эльмира Фатеховна / гастроном";"Москва, ул. Бирюлевская, дом 49, корп.4, стр.2";"ВАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.5841092";"37.6762954";"новый";"https://durnovcev2000.kaiten.ru/48222078"
"139246";"ИП Горенкова Наталья Александровна (Пункт выдачи заказов ОЗОН)";"Москва Сиреневый бульвар 28";"ВАО";"Эсток-Сервис";"Хорзов С.В.";"КВ";"55.8024827";"37.80029070000001";"новый";"https://durnovcev2000.kaiten.ru/49033316"
"№ ЭС/Т-1866/02-25";"ИП Погосян Шушик Вардановна, Пекарня МаМан";"Москва, Краснопрудная улица, д. 22-24";"ВАО";"Эсток-Сервис";"Сергеев С.В.";"КВ";"55.77878699999999";"37.6652918";"новый";"https://durnovcev2000.kaiten.ru/49636266"
"Больница";"ГБУЗ МО МОЦОМД (аптека) КХН 1 этаж стационарное отделение 2, детская больница";"Люберцы, Октябрьский проспект 338";"ВАО";"Нева-2";"Дубовик А.С.";"М";"55.664401";"37.904297";"19.65.2024";"#32562069"
"90959";"Аптека ""Планета Здоровья""";"Москва, ул. Халтуринская 18";"ВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.72066299999999";"37.816632";"06. 03.2025";"https://durnovcev2000.kaiten.ru/31419832"
"90192";"ИП Рагимова, салон маникюра ""Рай""";"г. Москва, пос. Коммунарка, ул. Александры Монаховой д. 98/2";"ВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.56408399999999";"37.4854898";"-";"#32510753"
"137650";"ООО Пивная культура, магазин Танк Хоппер";"Москва, ул Поляны, д 5А/1";"ВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.5556822";"37.5554622";"-";"https://durnovcev2000.kaiten.ru/space/328069/card/33239517"
"134958";"ООО ""Одинцово Вайнстайл""/(Винный магазин Winestyle)";"Московская обл, Одинцовский р-н, Одинцово г, Можайское ш, дом № 153Г, помещение 2";"ВАО";"Технологии Безопасности";"Бочкарев";"КВ";"55.7185548";"37.4175429";"06.03.2925";"https://durnovcev2000.kaiten.ru/32511572"
"136851";"АО «2ЛАБ» (Медицинский центр «2 LAB»)";"Московская обл, Одинцовский р-н, Одинцово г, Чистяковой ул, дом № 67";"ВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6981771";"37.3221851";"07.05.2025";"https://durnovcev2000.kaiten.ru/32511822"
"134578";"ИП Лопатин Александр Максимович/Пекарня«ЛАКМА»";"Московская обл, Одинцовский р-н, Одинцово г, Северная ул, дом № 5, корпус 3, помещение 14";"ВАО";"Технологии Безопасности";"Чиграй А.С.";"КВ";"55.6644783";"37.207334";"07.05.2025";"https://durnovcev2000.kaiten.ru/32511776"
"1552";"ИП Ташкинова Кадрия Рашитовна/Пекарня «Буханка»";"Одинцово, мкр. Клубничное Поле, д. 2";"ВАО";"Гранит";"Мозговой И.В.";"КВ";"55.67337449999999";"37.2818569";"07.05.2025";"https://durnovcev2000.kaiten.ru/42486216"
